🧩 Total Problems: 3605,,,⭐ Star me on GitHub,,,,,,,,,,Choose the Programming Language for the Prompt,Python
🕰️ Last Updated: 2025-07-06 04:54 CEST,,,🦙 Follow/Connect with me on LinkedIn,,,,,,,,,,Choose the Language for the Answer,English
ID,Problem Name,Likes,Dislikes,"Like
Ratio",Topics,Difficulty,Accepted,Submissions,"Accept
Rate",Free?,Solution?,"Video
Solution?",Category,LLM Prompt
1,Two Sum,62513,2264,96.5%,"Array, Hash Table",Easy,17754597,31779558,55.90%,Yes,Yes,Yes,Algorithms,"Please solve the LeetCode problem '1. Two Sum'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
3,Longest Substring Without Repeating Characters,42350,2058,95.4%,"Hash Table, String, Sliding Window",Medium,7680486,20732435,37.00%,Yes,Yes,Yes,Algorithms,"Please solve the LeetCode problem '3. Longest Substring Without Repeating Characters'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
53,Maximum Subarray,35942,1519,95.9%,"Array, Divide and Conquer, Dynamic Programming",Medium,5087440,9754022,52.20%,Yes,Yes,Yes,Algorithms,"Please solve the LeetCode problem '53. Maximum Subarray'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
42,Trapping Rain Water,34366,610,98.3%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",Hard,2897499,4440805,65.20%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '42. Trapping Rain Water'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
2,Add Two Numbers,33937,6798,83.3%,"Linked List, Math, Recursion",Medium,5896838,12721635,46.40%,Yes,Yes,Yes,Algorithms,"Please solve the LeetCode problem '2. Add Two Numbers'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
121,Best Time to Buy and Sell Stock,33502,1297,96.3%,"Array, Dynamic Programming",Easy,6549411,11834313,55.30%,Yes,Yes,Yes,Algorithms,"Please solve the LeetCode problem '121. Best Time to Buy and Sell Stock'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
15,3Sum,33242,3115,91.4%,"Array, Two Pointers, Sorting",Medium,4838583,13013055,37.20%,Yes,Yes,Yes,Algorithms,"Please solve the LeetCode problem '15. 3Sum'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
11,Container With Most Water,31555,2024,94.0%,"Array, Two Pointers, Greedy",Medium,4186935,7234748,57.90%,Yes,Yes,Yes,Algorithms,"Please solve the LeetCode problem '11. Container With Most Water'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
5,Longest Palindromic Substring,30983,1908,94.2%,"Two Pointers, String, Dynamic Programming",Medium,3940529,10962048,35.90%,Yes,Yes,Yes,Algorithms,"Please solve the LeetCode problem '5. Longest Palindromic Substring'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
4,Median of Two Sorted Arrays,30319,3402,89.9%,"Array, Binary Search, Divide and Conquer",Hard,3480075,7913857,44.00%,Yes,Yes,Yes,Algorithms,"Please solve the LeetCode problem '4. Median of Two Sorted Arrays'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
33,Search in Rotated Sorted Array,28230,1714,94.3%,"Array, Binary Search",Medium,3671128,8549749,42.90%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '33. Search in Rotated Sorted Array'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
